step	loss
0	5.7418
1	6.4666
2	6.1795
3	6.0132
4	5.6669
5	5.6091
6	5.5606
7	5.4459
8	5.5574
9	5.3863
10	5.2804
11	5.2464
12	5.1819
13	5.1549
14	5.1043
15	5.0259
16	5.2694
17	5.1583
18	5.2146
19	5.0779
20	5.0079
21	5.1563
22	5.0312
23	5.0053
24	5.0649
25	4.9216
26	4.9624
27	5.0444
28	4.9551
29	4.8895
30	4.9932
31	4.9276
32	5.1074
33	4.9591
34	4.889
35	5.0301
36	4.9237
37	4.9787
38	4.822
39	4.9714
40	5.044
41	4.9016
42	4.7984
43	4.8793
44	4.8015
45	4.9674
46	4.6536
47	4.7849
48	4.8118
49	4.9264
50	4.7044
51	4.7688
52	4.8446
53	4.793
54	4.8141
55	4.7205
56	4.8862
57	4.727
58	4.8945
